SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3
438-5,Coscinodiscus spp. 100-150 µm,Centric diatom,Coscinodiscus,spp.,666.7
431-5,Gazelletta hexanema,Radiozoa,Gazelletta,hexanema,3333.3
431-25,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,30000
416-61,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7
416-85,Nematocysts,Other,(null),(null),6666.7
416-61,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
416-73,Tripos concilians,Dinoflagellate,Tripos (Tripoceratium),concilians,666.7
418-37,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,300000
438-33,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
438-41,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),3333.3
438-77,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,3333.3
442-5,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7
442-17,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7
442-49,Proboscia spp.,Centric diatom,Proboscia,spp.,46666.7
442-61,Guinardia striata,Centric diatom,Guinardia,striata,3333.3
442-69,Lauderia spp.,Centric diatom,Lauderia,spp.,3333.3
443-25,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
443-25,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,6666.7
441-77,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,13333.3
441-33,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
423-25,Corethron spp.,Centric diatom,Corethron,spp.,6666.7
441-49,Proboscia spp.,Centric diatom,Proboscia,spp.,6666.7
441-41,Tripos macroceros type,Dinoflagellate,Tripos (Tripoceratium),macroceros type,666.7
441-73,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
441-73,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,10000
441-45,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,666.7
442-37,Octactis octonaria,Silicoflagellate,Octactis,octonaria,3333.3
450-37,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
450-37,Tripos macroceros type,Dinoflagellate,Tripos (Tripoceratium),macroceros type,3333.3
450-41,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,6666.7
450-53,Skeletonema spp.,Centric diatom,Skeletonema,spp.,6666.7
450-65,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,46666.7
450-13,Tripos pulchellus,Dinoflagellate,Tripos,pulchellus,666.7
455-21,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,13333.3
453-1,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,200000
454-13,Pennate diatom > 10 µm,Pennate diatom,(null),(null),3333.3
455-33,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,3333.3
452-37,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,3333.3
456-65,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,6666.7
456-53,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,10000
452-21,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
456-41,Planktoniella sol,Centric diatom,Planktoniella,sol,3333.3
442-57,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7
454-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
451-61,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,6666.7
455-41,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,10000
452-37,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
452-45,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,666.7
452-49,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
452-49,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,666.7
452-57,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
443-81,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
446-53,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
446-57,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
448-65,Eutintinnus spp.,Ciliate,Eutintinnus,spp.,6666.7
424-9,Corethron spp.,Centric diatom,Corethron,spp.,6666.7
424-9,Guinardia cylindrus,Centric diatom,Guinardia,cylindrus,3333.3
450-41,Proboscia spp.,Centric diatom,Proboscia,spp.,666.7
455-1,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,10000
455-5,Corethron spp.,Centric diatom,Corethron,spp.,6666.7
455-5,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,10000
453-33,Proboscia spp.,Centric diatom,Proboscia,spp.,3333.3
446-21,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
448-69,Acantharia,Radiozoa,(null),(null),10000
449-33,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
449-49,Rhizosolenia setigera group,Centric diatom,Rhizosolenia,cf. setigera,6666.7
449-69,Acantharia,Radiozoa,(null),(null),6666.7
443-37,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),3333.3
446-33,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,3333.3
449-45,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
449-13,Navicula cf. 20-40 µm length,Pennate diatom,(null),(null),3333.3
449-21,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
458-9,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,60000
464-13,Rhabdonella spp.,Ciliate,Rhabdonella,spp.,3333.3
391-7,Rhizosolenia polydactyla f. polydactyla,Centric diatom,Rhizosolenia,polydactyla f. polydactyla,3333.3
391-3,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3
481-89,Proboscia spp.,Centric diatom,Proboscia,spp.,20000
481-89,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),6666.7
457-33,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3333.3
457-53,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,6666.7
464-17,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3333.3
463-17,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3333.3
467-13,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,6666.7
463-9,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
467-49,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
467-9,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7
468-9,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3
391-11,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,33333.3
391-31,Rhabdonella amor,Ciliate,Rhabdonella,amor,3333.3
391-27,Protorhabdonella spp.,Ciliate,Protorhabdonella,spp.,3333.3
391-34,Gonyaulax spp.,Dinoflagellate,Gonyaulax,spp.,3333.3
391-40,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
391-40,Unid round green object,Other,(null),(null),10000
391-43,Unid round green object,Other,(null),(null),13333.3
391-48,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,13333.3
459-13,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,666.7
469-29,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,70000
480-5,Nematocysts,Other,(null),(null),6666.7
480-69,Detonula spp.,Centric diatom,Detonula,spp.,3333.3
481-5,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
471-2,Phaeocystis cf. spp. (colony <50 um),Flagellate,cf. Phaeocystis,spp.,3333.3
471-5,Foraminifera,Foraminifera,(null),(null),3333.3
481-57,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,3333.3
481-61,Radiolarian,Radiozoa,(null),(null),3333.3
471-14,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,33333.3
482-9,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,23333.3
482-9,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,10000
482-57,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3
482-57,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,3333.3
467-45,Tripos horridus,Dinoflagellate,Tripos (Tripoceratium),horridus,666.7
391-22,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7
471-8,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3
471-9,Centric diatom 40-50 µm,Centric diatom,(null),(null),3333.3
481-5,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
471-28,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,30000
471-29,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
471-32,Centric diatom 10-20 µm,Centric diatom,(null),(null),6666.7
471-32,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7
471-33,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,23333.3
471-33,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
471-35,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,46666.7
471-36,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
481-17,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,666.7
481-21,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
481-41,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
471-39,Unid round green object,Other,(null),(null),10000
482-5,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7
482-29,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
457-29,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3
456-61,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
458-37,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,6666.7
458-5,Cyttarocylis spp.,Ciliate,Cyttarocylis,spp.,666.7
464-57,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3333.3
418-38,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,6666.7
468-65,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
472-32,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3
472-35,Centric diatom,Centric diatom,(null),(null),3333.3
472-38,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,126666.7
472-37,Proboscia alata,Centric diatom,Proboscia,alata,6666.7
473-6,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,30000
473-12,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,23333.3
473-14,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,13333.3
473-19,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,33333.3
473-37,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
473-39,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,13333.3
473-42,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3
530-5,Radiolarian,Radiozoa,(null),(null),6666.7
473-45,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,20000
473-52,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,40000
473-55,Centric diatom 10-20 µm,Centric diatom,(null),(null),3333.3
492-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,10000
517-9,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,20000
493-5,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
471-54,Centric diatom 30-40 µm,Centric diatom,(null),(null),3333.3
513-57,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
513-37,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
513-65,Tripos hundhausenii,Dinoflagellate,Tripos (Tripoceratium),hundhausenii,666.7
514-69,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,3333.3
471-68,Foraminifera,Foraminifera,(null),(null),3333.3
471-78,Proboscia alata,Centric diatom,Proboscia,alata,10000
471-78,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,153333.3
472-1,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
472-7,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
472-12,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
472-15,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
483-69,Fragilaria spp.,Pennate diatom,Fragilaria,spp.,3333.3
266-1,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
472-24,Proboscia alata,Centric diatom,Proboscia,alata,6666.7
472-25,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
472-29,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
471-42,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,46666.7
471-51,Centric diatom 10-20 µm,Centric diatom,(null),(null),6666.7
471-51,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,10000
471-51,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,6666.7
471-52,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
471-53,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
472-31,Centric diatom,Centric diatom,(null),(null),3333.3
472-31,Centric diatom 10-20 µm,Centric diatom,(null),(null),3333.3
472-41,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3
472-43,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
516-5,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3333.3
516-9,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,10000
516-13,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,6666.7
516-13,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,30000
470-4,Coccolithophore cf.,Coccolithophore,(null),(null),20000
470-48,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
470-60,Radiolarian,Radiozoa,(null),(null),3333.3
470-76,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
470-14,Proboscia alata,Centric diatom,Proboscia,alata,6666.7
470-14,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,6666.7
470-46,Chaetoceros lorenzianus,Centric diatom,Chaetoceros (Hyalochaete),lorenzianus,3333.3
470-70,Coccolithophore cf.,Coccolithophore,(null),(null),3333.3
470-90,Proboscia alata,Centric diatom,Proboscia,alata,13333.3
472-50,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
472-52,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3
472-54,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
472-57,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,46666.7
472-60,Corethron spp.,Centric diatom,Corethron,spp.,6666.7
472-61,Centric diatom,Centric diatom,(null),(null),10000
472-64,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3
472-66,Fragilariopsis pseudonana,Pennate diatom,Fragilariopsis,pseudonana,3333.3
472-66,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,13333.3
472-70,Phaeocystis cf. spp. (colony <50 um),Flagellate,cf. Phaeocystis,spp.,6666.7
472-72,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,10000
472-73,Dactyliosolen spp.,Centric diatom,Dactyliosolen,spp.,10000
472-75,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
472-76,Centric diatom 10-20 µm,Centric diatom,(null),(null),3333.3
530-41,Guinardia spp.,Centric diatom,Guinardia,spp.,6666.7
530-41,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000
531-1,Thalassionema spp.,Pennate diatom,Thalassionema,spp.,3333.3
472-80,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,46666.7
494-13,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
489-9,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
497-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
498-5,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
498-1,Radiolarian,Radiozoa,(null),(null),3333.3
6-73,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7
18-41,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,3333.3
14-29,Navicula - shaped,Pennate diatom,(null),(null),3333.3
4-25,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,7078.7
7-53,Fungal hyphae,Other,(null),(null),213100
19-77,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7
12-45,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
4-49,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,3539.3
8-17,Codonellopsis pusilla,Ciliate,Codonellopsis,pusilla,3333.3
7-65,Aspergillus sydowii,Other,Aspergillus,sydowii,24861.7
7-73,Spikey balls,Other,(null),(null),3551.7
19-13,Nematocysts,Other,(null),(null),3333.3
18-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
13-49,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
13-25,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,666.7
43-29,Proboscia spp.,Centric diatom,Proboscia,spp.,3666.7
43-37,Rhizosolenia setigera group,Centric diatom,Rhizosolenia,cf. setigera,3666.7
43-41,Plastic,Other,(null),(null),733.3
45-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,23333.3
45-13,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
60-9,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,3333.3
60-5,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3
69-13,Fungal spores,Other,(null),(null),20000
12-57,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
19-81,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,3333.3
69-1,Plastic,Other,(null),(null),666.7
76-29,Nematocysts,Other,(null),(null),3333.3
76-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,60000
76-81,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,6666.7
76-77,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,20000
76-77,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,20000
18-37,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3333.3
3-41,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,10000
3-25,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
14-1,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6666.7
14-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7
8-9,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,6666.7
4-33,Fish scales,Other,(null),(null),707.9
19-29,Foraminifera,Foraminifera,(null),(null),666.7
9-21,Stephanopyxis spp.,Centric diatom,Stephanopyxis,spp.,3333.3
16-1,Foraminifera,Foraminifera,(null),(null),666.7
9-9,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
9-29,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
43-33,Rhizosolenia setigera group,Centric diatom,Rhizosolenia,cf. setigera,7333.3
43-45,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3666.7
43-73,Guinardia spp.,Centric diatom,Guinardia,spp.,14666.7
43-73,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,22000
43-61,Foraminifera,Foraminifera,(null),(null),733.3
43-45,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,733.3
1-33,Silicoflagellate,Silicoflagellate,Dictyocha,spp.,3333.3
1-45,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
2-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7
2-37,Silicoflagellate,Silicoflagellate,Dictyocha,spp.,3333.3
2-49,Cerataulina spp.,Centric diatom,Cerataulina,spp.,6666.7
18-13,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3
19-69,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
3-69,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,666.7
7-22,Fungal hyphae,Other,(null),(null),113653.3
43-69,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,733.3
43-65,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,733.3
73-21,Nematocysts,Other,(null),(null),10000
53-89,Corethron spp.,Centric diatom,Corethron,spp.,3333.3
88-21,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,10000
89-44,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
89-44,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
53-85,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,80000
89-50,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
90-3,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,6666.7
90-5,Thalassiosira oliveriana,Centric diatom,Thalassiosira,oliveriana,6666.7
90-9,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
90-13,Proboscia alata,Centric diatom,Proboscia,alata,13333.3
91-44,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,10000
91-46,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
92-2,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,23333.3
92-6,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
92-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
92-10,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
92-19,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
92-19,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000
52-61,Fish scales,Other,(null),(null),6666.7
92-22,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3
92-30,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
93-5,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,3333.3
93-7,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
53-73,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7
91-9,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
91-14,Corethron spp.,Centric diatom,Corethron,spp.,3333.3
91-16,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3
91-19,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
74-9,Nematocysts,Other,(null),(null),6666.7
53-25,Biddulphia spp.,Centric diatom,Biddulphia,spp.,3333.3
91-26,Corethron spp.,Centric diatom,Corethron,spp.,3333.3
91-35,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
91-36,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,10000
91-37,Proboscia truncata,Centric diatom,Proboscia,truncata,3333.3
91-40,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3
91-43,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
91-43,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
86-10,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,30000
86-71,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
86-73,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,10000
86-80,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
86-84,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
75-5,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,3333.3
87-35,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
87-36,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
87-37,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7
87-51,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,23333.3
87-60,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
87-61,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,3333.3
87-63,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
87-71,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
87-82,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
87-82,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7
88-2,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
176-37,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6666.7
108-57,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,673.3
127-17,Plastic,Other,(null),(null),666.7
130-5,Plastic,Other,(null),(null),666.7
189-45,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7
194-9,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
209-62,Pennate diatom > 10 µm,Pennate diatom,(null),(null),3333.3
