SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3,BIOVOL_UM3_M3
240-41,Amphisolenia spp.,Dinoflagellate,Amphisolenia,spp.,3333.3,130899583.333333333333333333333333333333
240-41,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,20000,10053088000
309-9,Lioloma spp.,Pennate diatom,Lioloma,spp.,6666.7,62499999.99999999999999999999999999999998
265-17,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,666.7,46076653.33333333333333333333333333333322
298-53,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
321-25,Skeletonema pseudocostatum,Centric diatom,Skeletonema,pseudocostatum,3403.3,1397072.05431111111111111111111111111111
321-37,Tripos muelleri type,Dinoflagellate,Ceratium,muelleri type,680.7,44193095.59555555555555555555555555555556
321-37,Ditylum brightwellii < 40 µm width,Centric diatom,Ditylum,brightwellii,3403.3,85083333.33333333333333333333333333333338
321-40,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3403.3,10691877.96666666666666666666666666666667
321-54,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6806.7,40094542.37499999999999999999999999999999
321-67,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,10210,1569532250
321-74,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3403.3,3915009.31546111111111111111111111111111
239-9,Navicula - shaped,Pennate diatom,(null),(null),6666.7,13750000
245-33,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
245-41,Amphisolenia spp.,Dinoflagellate,Amphisolenia,spp.,666.7,26179916.6666666666666666666666666666666
309-45,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,10000,70685775
298-81,Plastic,Other,(null),(null),666.7,(null)
298-85,Plastic,Other,(null),(null),666.7,(null)
245-57,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,3333.3,1570795000.000000000000000000000000000007
245-69,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
311-17,Guinardia flaccida,Centric diatom,Guinardia,flaccida,3333.3,654497916.666666666666666666666666666667
311-21,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3333.3,1319467800.000000000000000000000000000005
311-25,Rhabdonella amor,Ciliate,Rhabdonella,amor,3333.3,436331944.444444444444444444444444444446
300-5,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7,953996163.333333333333333333333333333333
300-9,Plastic,Other,(null),(null),666.7,(null)
300-13,Radiolarian,Radiozoa,(null),(null),3333.3,1745327.77777777777777777777777777777778
315-9,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
315-10,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
315-12,Foraminifera,Foraminifera,(null),(null),3333.3,13962622.22222222222222222222222222222221
315-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
315-36,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
315-38,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
315-43,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,6666.7,1333333.33333333333333333333333333333333
315-56,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,20000,62831800
315-56,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,53333.3,8198666666.666666666666666666666666666692
316-1,Tripos fusus type,Dinoflagellate,Tripos (Amphiceratium),fusus type,3333.3,942477000.000000000000000000000000000004
316-4,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,10000,2000000
316-8,Proboscia alata,Centric diatom,Proboscia,alata,3333.3,221220295.833333333333333333333333333333
302-21,Coccolithophore cf.,Coccolithophore,(null),(null),3333.3,218165.972222222222222222222222222222222
302-25,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,70000,17592904
302-29,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,10000,31557271.55
302-33,Plastic,Other,(null),(null),666.7,(null)
302-41,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
302-45,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
302-49,Tripos candelabrum,Dinoflagellate,Tripos (Ceratium),candelabrum,666.7,35808890.01666666666666666666666666666658
302-49,Acantharia,Radiozoa,(null),(null),666.7,349065.5555555555555555555555555555555545
302-65,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,666.7,33488476.73611111111111111111111111111112
302-85,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,60000,188495400
301-1,Navicula cf. 20-40 µm length,Pennate diatom,(null),(null),3333.3,4375000
316-34,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3,142968750
316-50,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,3333.3,11780962.50000000000000000000000000000001
316-62,Tripos lineatus/pentagonus complex,Dinoflagellate,Tripos (Ceratium),lineatus/pentagonus,10000,175405441.666666666666666666666666666667
301-37,Plastic,Other,(null),(null),666.7,(null)
305-33,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,13333.3,94247699.99999999999999999999999999999976
305-37,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3,666666.666666666666666666666666666666667
305-53,Paint,Other,(null),(null),666.7,(null)
305-73,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
336-5,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),3333.3,20943933.33333333333333333333333333333331
336-13,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
336-13,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),3333.3,1005308.8
336-45,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
322-25,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
306-33,Lauderia spp.,Centric diatom,Lauderia,spp.,13333.3,471238499.999999999999999999999999999999
306-33,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,666.7,452388959.999999999999999999999999999999
306-45,Plastic,Other,(null),(null),666.7,(null)
306-49,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,70000,219911300
306-61,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,10000,58904812.5
306-65,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3,78539749.9999999999999999999999999999998
306-65,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
269-5,Plastic,Other,(null),(null),666.7,(null)
360-21,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3,62831800.00000000000000000000000000000003
360-33,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3,666666.666666666666666666666666666666667
360-33,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,13333.3,94247699.99999999999999999999999999999976
360-49,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3,666666.666666666666666666666666666666667
360-73,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
360-73,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),3333.3,1005308.8
269-53,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,93333.3,46666666.66666666666666666666666666666675
330-37,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
330-69,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
330-77,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,13333.3,1907992326.666666666666666666666666666662
330-77,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
360-89,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,3333.3,1000000
408-9,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3,476998081.666666666666666666666666666667
408-13,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
408-21,Proboscia spp.,Centric diatom,Proboscia,spp.,6666.7,442440591.666666666666666666666666666667
408-33,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,23333.3,73303766.66666666666666666666666666666656
408-33,Tripos muelleri type,Dinoflagellate,Ceratium,muelleri type,6666.7,432841288.88888888888888888888888888889
339-9,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),3333.3,6875000
339-9,Odontella spp.,Centric diatom,Odontella,spp.,666.7,35342887.49999999999999999999999999999991
339-13,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3,13635373.26388888888888888888888888888887
339-25,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,666.7,51471810.56
339-33,Nematocysts,Other,(null),(null),3333.3,(null)
339-33,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,3333.3,216420644.444444444444444444444444444445
408-37,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
408-41,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
408-53,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,10000,58904812.5
408-57,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,20000,20000000
408-61,Tripos concilians,Dinoflagellate,Tripos (Tripoceratium),concilians,666.7,43284128.88888888888888888888888888888889
348-9,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
348-17,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,666.7,13962622.22222222222222222222222222222223
348-33,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,6666.7,41050109.33333333333333333333333333333332
408-77,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,666.7,314159000.000000000000000000000000000001
354-25,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,666.7,11693696.1111111111111111111111111111111
354-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
359-13,Globigerinidae,Foraminifera,(null),(null),6666.7,27925244.44444444444444444444444444444439
359-21,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7,7668970.25555555555555555555555555555554
359-41,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,10000,58904812.5
359-49,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,23333.3,4666666.66666666666666666666666666666666
359-57,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3,666666.666666666666666666666666666666667
359-1,Centric diatom 40-50 µm,Centric diatom,(null),(null),3333.3,73631015.62500000000000000000000000000004
359-9,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3,666666.666666666666666666666666666666667
296-1,Lauderia spp.,Centric diatom,Lauderia,spp.,3333.3,117809625
296-17,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
296-29,Plastic,Other,(null),(null),666.7,(null)
296-33,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3,200000000
296-33,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
296-37,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3333.3,1908515.925
432-9,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
432-13,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3,13635373.26388888888888888888888888888887
432-21,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,10000,654497916666.6666666666666666666666666656
432-53,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
450-1,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,666.7,381703.184999999999999999999999999999999
450-9,Tripos incisus,Dinoflagellate,Tripos (Ceratium),incisus,666.7,43284128.88888888888888888888888888888889
450-13,Tripos contortus,Dinoflagellate,Tripos (Tripoceratium),contortus,666.7,43284128.88888888888888888888888888888889
450-25,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,10000,3000000
416-17,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7,43284128.88888888888888888888888888888889
416-45,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,3333.3,69813111.11111111111111111111111111111137
416-53,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
416-81,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,666.7,51471810.56
416-81,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,10000,40906119.7916666666666666666666666666666
455-29,Corethron spp.,Centric diatom,Corethron,spp.,6666.7,80448702.25694444444444444444444444444465
455-41,Tripos muelleri type,Dinoflagellate,Ceratium,muelleri type,666.7,43284128.88888888888888888888888888888889
422-13,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,3333.3,48105596.87500000000000000000000000000002
431-1,Guinardia flaccida,Centric diatom,Guinardia,flaccida,3333.3,654497916.666666666666666666666666666667
431-13,Nematocysts,Other,(null),(null),6666.7,(null)
431-13,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3,3333333.33333333333333333333333333333334
431-13,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
431-25,Amphisolenia bidentata,Dinoflagellate,Amphisolenia,bidentata,666.7,26179916.6666666666666666666666666666666
431-29,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
431-49,Nitzschia cf. bicapitata,Pennate diatom,Nitzschia,cf. bicapitata,3333.3,420000.0000000000000000000000000000000002
431-49,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,666.7,94945831.11111111111111111111111111111083
431-53,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,13333.3,82100218.66666666666666666666666666666646
431-53,Hemiaulus hauckii,Centric diatom,Hemiaulus,hauckii,3333.3,55396703.66666666666666666666666666666669
422-41,Corethron spp.,Centric diatom,Corethron,spp.,60000,724038320.312500000000000000000000000002
422-49,Pennate diatom 25 - 50 µm,Pennate diatom,(null),(null),3333.3,1500000
422-53,Proboscia alata,Centric diatom,Proboscia,alata,3333.3,221220295.833333333333333333333333333333
423-5,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3,666666.666666666666666666666666666666667
426-13,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),3333.3,6875000
426-17,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,10000,70685775
426-17,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7,43284128.88888888888888888888888888888889
426-21,Hemiaulus hauckii,Centric diatom,Hemiaulus,hauckii,3333.3,55396703.66666666666666666666666666666669
426-25,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,70000,219911300
426-37,Nematocysts,Other,(null),(null),3333.3,(null)
426-37,Radiolarian,Radiozoa,(null),(null),3333.3,1745327.77777777777777777777777777777778
426-37,Tripos muelleri type,Dinoflagellate,Ceratium,muelleri type,666.7,43284128.88888888888888888888888888888889
426-41,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
426-61,Dadayiella spp.,Ciliate,Dadayiella,spp.,3333.3,8726638.8888888888888888888888888888889
424-5,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,300000,1847254920
424-13,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7,27070033.83333333333333333333333333333327
424-13,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7,20943933.33333333333333333333333333333333
424-29,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
428-41,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
428-77,Tripos muelleri type,Dinoflagellate,Ceratium,muelleri type,666.7,43284128.88888888888888888888888888888889
438-17,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
418-35,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
418-38,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3333.3,1908515.925
418-41,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,666.7,2094393.33333333333333333333333333333333
441-53,Proboscia spp.,Centric diatom,Proboscia,spp.,10000,663660887.5
441-1,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),6666.7,41887866.66666666666666666666666666666659
441-21,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,3333.3,216420644.444444444444444444444444444445
441-45,Rhabdonella spp.,Ciliate,Rhabdonella,spp.,3333.3,436331944.444444444444444444444444444446
442-25,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,3333.3,837757.3333333333333333333333333333333338
442-41,Dactyliosolen spp.,Centric diatom,Dactyliosolen,spp.,3333.3,163624479.166666666666666666666666666667
442-41,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,60000,3926987499999.99999999999999999999999999
441-65,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3,3333333.33333333333333333333333333333334
441-65,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,3333.3,216420644.444444444444444444444444444445
441-77,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),6666.7,41887866.66666666666666666666666666666659
438-57,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),3333.3,18666666.66666666666666666666666666666668
438-77,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7,27070033.83333333333333333333333333333327
450-37,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3333.3,1908515.925
450-53,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,6666.7,2000000
450-57,Tripos candelabrum,Dinoflagellate,Tripos (Ceratium),candelabrum,666.7,35808890.01666666666666666666666666666658
450-61,Rhizosolenia imbricata group,Centric diatom,Rhizosolenia,cf. imbricata,3333.3,942477000
450-61,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),3333.3,20943933.33333333333333333333333333333331
450-65,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),3333.3,20943933.33333333333333333333333333333331
450-69,Dinophysis caudata,Dinoflagellate,Dinophysis,caudata,3333.3,135481068.75
452-1,Nematocysts,Other,(null),(null),3333.3,(null)
452-9,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7,43284128.88888888888888888888888888888889
452-13,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7,43284128.88888888888888888888888888888889
446-29,Tripos spp.,Dinoflagellate,Tripos,spp.,666.7,39999999.9999999999999999999999999999999
446-33,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7,953996163.333333333333333333333333333333
446-45,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,60000,34353286.65
446-53,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7,43284128.88888888888888888888888888888889
452-29,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7,43284128.88888888888888888888888888888889
452-45,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7,43284128.88888888888888888888888888888889
448-13,Proboscia spp.,Centric diatom,Proboscia,spp.,3333.3,221220295.833333333333333333333333333333
448-21,Acantharia,Radiozoa,(null),(null),3333.3,1745327.77777777777777777777777777777778
448-21,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,10000,5725547.775
443-13,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,3333.3,48105596.87500000000000000000000000000002
449-1,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,3333.3,135350169.166666666666666666666666666667
449-5,Diploneis spp.,Pennate diatom,Diploneis,spp.,3333.3,92362746.00000000000000000000000000000005
449-69,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,666.7,235661835.997777777777777777777777777777
449-77,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,3333.3,216420644.444444444444444444444444444445
412-21,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7,27070033.83333333333333333333333333333327
412-37,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
412-85,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3,476998081.666666666666666666666666666667
443-45,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
443-49,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
443-53,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,6666.7,270700338.333333333333333333333333333333
451-1,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7,43284128.88888888888888888888888888888889
451-21,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3333.3,1908515.925
453-21,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
453-29,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,23333.3,137444562.5
443-69,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,13333.3,541400676.666666666666666666666666666665
443-73,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,3333.3,69813111.11111111111111111111111111111137
443-81,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,10000,31415900
448-41,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,6666.7,5833333.33333333333333333333333333333333
448-45,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,6666.7,13648463.22222222222222222222222222222222
448-57,Oxytoxum scolopax,Dinoflagellate,Oxytoxum,scolopax,3333.3,19634937.50000000000000000000000000000001
455-21,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3,78539749.9999999999999999999999999999998
454-1,Corethron spp.,Centric diatom,Corethron,spp.,20000,241346106.770833333333333333333333333334
454-29,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3,13635373.26388888888888888888888888888887
454-41,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
454-61,Corethron spp.,Centric diatom,Corethron,spp.,6666.7,80448702.25694444444444444444444444444465
454-65,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
413-13,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6666.7,2638935600.000000000000000000000000000007
413-33,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,3333.3,69813111.11111111111111111111111111111137
413-61,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7,953996163.333333333333333333333333333333
413-61,Radiolarian,Radiozoa,(null),(null),666.7,349065.5555555555555555555555555555555545
413-61,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,666.7,33488476.73611111111111111111111111111112
413-69,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,3333.3,257359052.800000000000000000000000000001
413-77,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7,27070033.83333333333333333333333333333327
413-81,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,3333.3,216420644.444444444444444444444444444445
427-13,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,6666.7,27270746.52777777777777777777777777777773
456-33,Proboscia spp.,Centric diatom,Proboscia,spp.,10000,663660887.5
456-37,Tripos spp.,Dinoflagellate,Tripos,spp.,6666.7,400000000
456-41,Dadayiella ganymedes,Ciliate,Dadayiella,ganymedes,3333.3,8726638.8888888888888888888888888888889
456-41,Tripos spp.,Dinoflagellate,Tripos,spp.,13333.3,799999999.999999999999999999999999999998
456-45,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7,20943933.33333333333333333333333333333333
456-45,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
456-61,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,6666.7,1333333.33333333333333333333333333333333
415-61,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,666.7,51471810.56
415-65,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,666.7,13962622.22222222222222222222222222222223
480-65,Rhizosolenia setigera group,Centric diatom,Rhizosolenia,cf. setigera,10000,452388960
480-73,Radiolarian,Radiozoa,(null),(null),3333.3,1745327.77777777777777777777777777777778
494-5,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7,43284128.88888888888888888888888888888889
494-9,Amphisolenia spp.,Dinoflagellate,Amphisolenia,spp.,666.7,26179916.6666666666666666666666666666666
492-13,Tripos axialis,Dinoflagellate,Tripos (Tripoceratium),axialis,666.7,43284128.88888888888888888888888888888889
492-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7,95399616.33333333333333333333333333333309
513-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,10000,1430994245
517-13,Tripos macroceros type,Dinoflagellate,Tripos (Tripoceratium),macroceros type,666.7,(null)
517-25,Gazelletta hexanema,Radiozoa,Gazelletta,hexanema,3333.3,13962622.22222222222222222222222222222221
517-29,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,10000,2513272
