SAMPLE,NRS_CODE,TAXON_NAME,TAXON_PER_M3
13650,PHB20160229,"Scorpaenidae - undifferentiated",0.003
13650,PHB20160229,"Triglidae & Peristediidae - undifferentiated",0.016
13650,PHB20160229,"Platycephalus fuscus",0.013
13650,PHB20160229,"Platycephalidae - undifferentiated",0.211
13650,PHB20160229,"Ambassis jacksoniensis",0.011
13650,PHB20160229,"Verilus anomalus",0.005
13650,PHB20160229,"Serranidae subfam. Anthiinae",0.008
13650,PHB20160229,"Pelates spp.",0.003
13650,PHB20160229,"Sillaginidae - undifferentiated",0.011
13650,PHB20160229,"Sillago robusta",0.116
13650,PHB20160229,"Trachurus novaezelandiae",0.148
13650,PHB20160229,"Pseudocaranx georgianus",0.003
13650,PHB20160229,"Lutjanidae - undifferentiated",0.005
13650,PHB20160229,"Nemipteridae - undifferentiated",0.008
13650,PHB20160229,"Schuettea spp.",0.011
13650,PHB20160229,"Cepola australis",0.003
13650,PHB20160229,"Liza argentea",0.011
13650,PHB20160229,"Labridae - undifferentiated",0.005
13650,PHB20160229,"Pinguipedidae - undifferentiated",0.005
13650,PHB20160229,"Percophidae - undifferentiated",0.003
13650,PHB20160229,"Creedia spp.",0.005
13650,PHB20160229,"Plagiotremus spp.",0.003
13650,PHB20160229,"Callionymidae - undifferentiated",0.021
13650,PHB20160229,"Siganus spp.",0.003
13650,PHB20160229,"Lophonectes gallus",0.003
13650,PHB20160229,"Engyprosopon spp.",0.005
13650,PHB20160229,"Pseudorhombus spp.",0.013
13650,PHB20160229,"Soleidae - undifferentiated",0.008
13650,PHB20160229,"Cynoglossidae - undifferentiated",0.008
13650,PHB20160229,"Order Anguilliformes - undifferentiated",0.026
13650,PHB20160229,"Sillago ciliata",0.003
13650,PHB20160229,"Trachurus novaezelandiae",0.003
13651,PHB20160407,"Gonostomatidae - undifferentiated",0.006
13651,PHB20160407,"Myctophidae - undifferentiated",0.072
13651,PHB20160407,"Centroberyx affinis",0.006
13651,PHB20160407,"Scorpaenidae - undifferentiated",0.02
13651,PHB20160407,"Triglidae & Peristediidae - undifferentiated",0.003
13651,PHB20160407,"Serranidae subfam. Anthiinae",0.009
13651,PHB20160407,"Trachurus novaezelandiae",0.003
13651,PHB20160407,"Leiognathidae - undifferentiated",0.003
13651,PHB20160407,"Lethrinus spp.",0.003
13651,PHB20160407,"Pomacentridae - undifferentiated",0.003
13651,PHB20160407,"Callionymidae - undifferentiated",0.006
13651,PHB20160407,"Gobiidae - undifferentiated",0.006
13651,PHB20160407,"Gonostomatidae - undifferentiated",0.003
13651,PHB20160407,"Scorpaenidae - undifferentiated",0.012
13651,PHB20160407,"Trachurus novaezelandiae",0.019
13651,PHB20160407,"Cynoglossidae - undifferentiated",0.003
13652,ROT20160621,"Engraulis australis",(null)
13652,ROT20160621,"Gonostomatidae - undifferentiated",(null)
13652,ROT20160621,"Triglidae & Peristediidae - undifferentiated",(null)
13652,ROT20160621,""Superclass" Pisces - undifferentiated",(null)
13652,ROT20160621,"Gonostomatidae - undifferentiated",(null)
13652,ROT20160621,"Myctophidae - undifferentiated",(null)
13652,ROT20160621,"Scorpaenidae - undifferentiated",(null)
13653,PHB20160502,"Platycephalidae - undifferentiated",0.005
13653,PHB20160502,"Serranidae subfam. Anthiinae",0.008
13653,PHB20160502,"Sillago flindersi",0.003
13653,PHB20160502,"Pomacentridae - undifferentiated",0.003
13653,PHB20160502,"Cepola australis",0.003
13653,PHB20160502,""Superclass" Pisces - undifferentiated",0.002
13654,NSI20160720,"Gonostomatidae - undifferentiated",0.011
13654,NSI20160720,"Synodontidae - undifferentiated",0.005
13654,NSI20160720,"Myctophidae - undifferentiated",0.003
13654,NSI20160720,"Bregmaceros spp.",0.003
13654,NSI20160720,"Trachichthyidae - undifferentiated",0.005
13654,NSI20160720,"Scorpaenidae - undifferentiated",0.011
13654,NSI20160720,"Pegasus spp.",0.018
13654,NSI20160720,"Serranidae subfam. Anthiinae",0.087
13654,NSI20160720,"Apogonidae - undifferentiated",0.005
13654,NSI20160720,"Carangidae - undifferentiated",0.005
13654,NSI20160720,"Trachurus novaezelandiae",0.026
13654,NSI20160720,"Pseudocaranx georgianus",0.003
13654,NSI20160720,"Chrysophrys auratus",0.018
13654,NSI20160720,"Pomacentridae - undifferentiated",0.005
13654,NSI20160720,"Labridae - undifferentiated",0.013
13654,NSI20160720,"Gempylus serpens",0.003
13654,NSI20160720,"Scomber australasicus",0.008
13654,NSI20160720,"Nomeidae - undifferentiated",0.005
13654,NSI20160720,"Arnoglossus spp.",0.003
13654,NSI20160720,"Engyprosopon spp.",0.021
13654,NSI20160720,"Sardinops sagax",0.003
13654,NSI20160720,"Gonostomatidae - undifferentiated",0.009
13654,NSI20160720,"Melanostomiidae - undifferentiated",0.003
13654,NSI20160720,"Myctophidae - undifferentiated",0.003
13654,NSI20160720,"Scorpaenidae - undifferentiated",0.003
13654,NSI20160720,"Verilus anomalus",0.003
13654,NSI20160720,"Serranidae subfam. Anthiinae",0.127
13654,NSI20160720,"Trachurus novaezelandiae",0.03
13654,NSI20160720,"Lutjanidae - undifferentiated",0.006
13654,NSI20160720,"Acanthopagrus australis",0.015
13654,NSI20160720,"Mullidae - undifferentiated",0.003
13654,NSI20160720,"Scorpis spp.",0.003
13654,NSI20160720,"Labridae - undifferentiated",0.009
13654,NSI20160720,"Callionymidae - undifferentiated",0.003
13654,NSI20160720,"Gobiidae - undifferentiated",0.003
13654,NSI20160720,"Scombridae - undifferentiated",0.003
13654,NSI20160720,"Scomber australasicus",0.006
13654,NSI20160720,"Crossorhombus spp.",0.003
13654,NSI20160720,"Engyprosopon spp.",0.021
14091,NSF20160720,"Sardinops sagax",0.003
14091,NSF20160720,"Engraulis australis",0.006
14091,NSF20160720,"Exocoetidae - undifferentiated",0.003
14091,NSF20160720,"Scorpaenidae - undifferentiated",0.003
14091,NSF20160720,"Serranidae subfam. Anthiinae",0.009
14091,NSF20160720,"Chrysophrys auratus",0.003
14091,NSF20160720,"Parablennius spp.",0.003
14091,NSF20160720,"Callionymidae - undifferentiated",0.006
14091,NSF20160720,"Gobiidae - undifferentiated",0.02
14091,NSF20160720,"Asterorhombus spp.",0.003
14091,NSF20160720,"Cynoglossidae - undifferentiated",0.003
14091,NSF20160720,"Monacanthidae - undifferentiated",0.003
13655,NSI20160822,"Sardinops sagax",0.003
13655,NSI20160822,"Gonostomatidae - undifferentiated",0.003
13655,NSI20160822,"Astronesthidae - undifferentiated",0.008
13655,NSI20160822,"Myctophidae - undifferentiated",0.011
13655,NSI20160822,"Antennariidae - undifferentiated",0.003
13655,NSI20160822,"Macroramphosus spp.",0.016
13655,NSI20160822,"Platycephalidae - undifferentiated",0.018
13655,NSI20160822,"Pegasus spp.",0.003
13655,NSI20160822,"Serranidae subfam. Anthiinae",0.003
13655,NSI20160822,"Pelates spp.",0.003
13655,NSI20160822,"Trachurus novaezelandiae",0.008
13655,NSI20160822,"Pseudocaranx georgianus",0.003
13655,NSI20160822,"Nemipteridae - undifferentiated",0.003
13655,NSI20160822,"Lethrinus spp.",0.016
13655,NSI20160822,"Chrysophrys auratus",0.003
13655,NSI20160822,"Chaetodontidae - undifferentiated",0.005
13655,NSI20160822,"Pomacentridae - undifferentiated",0.013
13655,NSI20160822,"Labridae - undifferentiated",0.005
13655,NSI20160822,"Callionymidae - undifferentiated",0.011
13655,NSI20160822,"Gobiidae - undifferentiated",0.005
13655,NSI20160822,"Gempylus serpens",0.003
13655,NSI20160822,"Scomber australasicus",0.003
13655,NSI20160822,""Superclass" Pisces - undifferentiated",0.002
13655,NSI20160822,"Pegasus spp.",0.002
13655,NSI20160822,"Mullidae - undifferentiated",0.005
13655,NSI20160822,"Pomacentridae - undifferentiated",0.007
13655,NSI20160822,"Labridae - undifferentiated",0.002
13655,NSI20160822,"Blenniidae - undifferentiated",0.005
13655,NSI20160822,"Callionymidae - undifferentiated",0.002
13655,NSI20160822,"Engyprosopon spp.",0.002
14092,NSF20160822,"Engraulis australis",0.003
14092,NSF20160822,"Gonostomatidae - undifferentiated",0.008
14092,NSF20160822,"Hime spp.",0.003
14092,NSF20160822,"Macroramphosus spp.",0.023
14092,NSF20160822,"Scorpaenidae - undifferentiated",0.006
14092,NSF20160822,"Triglidae & Peristediidae - undifferentiated",0.003
14092,NSF20160822,"Platycephalidae - undifferentiated",0.006
14092,NSF20160822,"Pegasus spp.",0.006
14092,NSF20160822,"Serranidae subfam. Anthiinae",0.099
14092,NSF20160822,"Grammistidae - undifferentiated",0.003
14092,NSF20160822,"Apogonidae - undifferentiated",0.006
14092,NSF20160822,"Pomatomus saltatrix",0.006
14092,NSF20160822,"Trachurus novaezelandiae",0.02
14092,NSF20160822,"Nemipteridae - undifferentiated",0.006
14092,NSF20160822,"Lethrinus spp.",0.031
14092,NSF20160822,"Chaetodontidae - undifferentiated",0.006
14092,NSF20160822,"Pomacentridae - undifferentiated",0.014
14092,NSF20160822,"Labridae - undifferentiated",0.003
14092,NSF20160822,"Trichonotus spp.",0.003
14092,NSF20160822,"Creedia spp.",0.003
14092,NSF20160822,"Callionymidae - undifferentiated",0.031
14092,NSF20160822,"Gobiidae - undifferentiated",0.011
14092,NSF20160822,"Scomber australasicus",0.011
14092,NSF20160822,"Crossorhombus spp.",0.003
14092,NSF20160822,"Monacanthidae - undifferentiated",0.003
14092,NSF20160822,"Tetraodontidae - undifferentiated",0.003
13656,MAI20160831,"Moridae - undifferentiated",0.005
13656,MAI20160831,"Scorpaenidae - undifferentiated",0.023
13656,MAI20160831,"Helicolenus spp.",0.008
13656,MAI20160831,"Serranidae subfam. Anthiinae",0.123
13656,MAI20160831,"Seriolella spp.",0.008
13656,MAI20160831,"Pleuronectidae - undifferentiated",0.008
13656,MAI20160831,""Superclass" Pisces - undifferentiated",0.007
13656,MAI20160831,"Myctophidae - undifferentiated",0.03
13656,MAI20160831,"Macrouridae - undifferentiated",0.014
13656,MAI20160831,"Scorpaenidae - undifferentiated",0.002
13656,MAI20160831,"Serranidae subfam. Anthiinae",0.011
13656,MAI20160831,"Seriolella spp.",0.089
13656,MAI20160831,"Pleuronectidae - undifferentiated",0.002
13657,MAI20160927,""Superclass" Pisces - undifferentiated",0.037
13657,MAI20160927,"Sardinops sagax",0.002
13657,MAI20160927,"Myctophidae - undifferentiated",0.004
13657,MAI20160927,"Ophidiidae - undifferentiated",0.01
13657,MAI20160927,"Scorpaenidae - undifferentiated",0.006
13657,MAI20160927,"Helicolenus spp.",0.002
13657,MAI20160927,"Lepidotrigla spp.",0.012
13657,MAI20160927,"Platycephalidae - undifferentiated",0.016
13657,MAI20160927,"Serranidae subfam. Anthiinae",0.03
13657,MAI20160927,"Labridae - undifferentiated",0.008
13657,MAI20160927,"Callionymidae - undifferentiated",0.002
13657,MAI20160927,"Thyrsites atun",0.004
13657,MAI20160927,"Seriolella spp.",0.03
13657,MAI20160927,"Pleuronectidae - undifferentiated",0.012
13657,MAI20160927,""Superclass" Pisces - undifferentiated",0.057
13657,MAI20160927,"Myctophidae - undifferentiated",0.007
13657,MAI20160927,"Moridae - undifferentiated",0.002
13657,MAI20160927,"Genypterus spp.",0.005
13657,MAI20160927,"Scorpaenidae - undifferentiated",0.011
13657,MAI20160927,"Helicolenus spp.",0.002
13657,MAI20160927,"Lepidotrigla spp.",0.007
13657,MAI20160927,"Platycephalidae - undifferentiated",0.009
13657,MAI20160927,"Serranidae subfam. Anthiinae",0.041
13657,MAI20160927,"Cheilodactylus spp.",0.002
13657,MAI20160927,"Labridae - undifferentiated",0.014
13657,MAI20160927,"Seriolella spp.",0.014
13657,MAI20160927,"Lophonectes gallus",0.002
13657,MAI20160927,"Pleuronectidae - undifferentiated",0.018
13658,NSI20160920,"Sardinops sagax",0.008
13658,NSI20160920,"Bregmaceros spp.",0.003
13658,NSI20160920,"Platycephalidae - undifferentiated",0.036
13658,NSI20160920,"Pegasus spp.",0.003
13658,NSI20160920,"Pelates spp.",0.034
13658,NSI20160920,"Apogonidae - undifferentiated",0.008
13658,NSI20160920,"Trachurus novaezelandiae",0.086
13658,NSI20160920,"Lethrinus spp.",0.003
13658,NSI20160920,"Mullidae - undifferentiated",0.029
13658,NSI20160920,"Pomacentridae - undifferentiated",0.003
13658,NSI20160920,"Blenniidae - undifferentiated",0.003
13658,NSI20160920,"Monacanthidae - undifferentiated",0.005
13658,NSI20160920,"Etrumeus teres",0.003
13658,NSI20160920,"Sardinops sagax",0.006
13658,NSI20160920,"Engraulis australis",0.003
13658,NSI20160920,"Bregmaceros spp.",0.003
13658,NSI20160920,"Triglidae & Peristediidae - undifferentiated",0.019
13658,NSI20160920,"Platycephalus fuscus",0.013
13658,NSI20160920,"Platycephalidae - undifferentiated",0.039
13658,NSI20160920,"Serranidae subfam. Anthiinae",0.003
13658,NSI20160920,"Pelates spp.",0.006
13658,NSI20160920,"Apogonidae - undifferentiated",0.019
13658,NSI20160920,"Trachurus novaezelandiae",0.247
13658,NSI20160920,"Lutjanidae - undifferentiated",0.003
13658,NSI20160920,"Nemipteridae - undifferentiated",0.006
13658,NSI20160920,"Lethrinus spp.",0.013
13658,NSI20160920,"Chrysophrys auratus",0.003
13658,NSI20160920,"Mullidae - undifferentiated",0.01
13658,NSI20160920,"Pomacentridae - undifferentiated",0.01
13658,NSI20160920,"Labridae - undifferentiated",0.003
13658,NSI20160920,"Gobiidae - undifferentiated",0.01
13658,NSI20160920,"Scomber australasicus",0.01
13658,NSI20160920,"Crossorhombus spp.",0.003
13658,NSI20160920,"Engyprosopon spp.",0.013
13658,NSI20160920,"Cynoglossidae - undifferentiated",0.003
13658,NSI20160920,"Monacanthidae - undifferentiated",0.006
13658,NSI20160920,"Tetraodontidae - undifferentiated",0.003
14093,NSF20160920,"Engraulis australis",0.003
14093,NSF20160920,"Triglidae & Peristediidae - undifferentiated",0.006
14093,NSF20160920,"Platycephalidae - undifferentiated",0.04
14093,NSF20160920,"Serranidae subfam. Anthiinae",0.003
14093,NSF20160920,"Pelates spp.",0.011
14093,NSF20160920,"Apogonidae - undifferentiated",0.003
14093,NSF20160920,"Pomatomus saltatrix",0.006
14093,NSF20160920,"Decapterus spp.",0.006
14093,NSF20160920,"Lethrinus spp.",0.003
14093,NSF20160920,"Mullidae - undifferentiated",0.034
14093,NSF20160920,"Pomacentridae - undifferentiated",0.006
14093,NSF20160920,"Labridae - undifferentiated",0.008
14093,NSF20160920,"Creedia spp.",0.008
14093,NSF20160920,"Petroscirtes lupus",0.003
14093,NSF20160920,"Tripterygiidae - undifferentiated",0.006
14093,NSF20160920,"Callionymidae - undifferentiated",0.023
14093,NSF20160920,"Gobiidae - undifferentiated",0.008
14093,NSF20160920,"Engyprosopon spp.",0.006
14093,NSF20160920,"Pseudorhombus spp.",0.003
14093,NSF20160920,"Monacanthidae - undifferentiated",0.006
13659,PHB20160615,"Myctophidae - undifferentiated",0.005
13659,PHB20160615,"Trachichthyidae - undifferentiated",0.005
13659,PHB20160615,"Triglidae & Peristediidae - undifferentiated",0.005
13659,PHB20160615,"Serranidae subfam. Anthiinae",0.064
13659,PHB20160615,"Pseudochromidae - undifferentiated",0.003
13659,PHB20160615,"Labridae - undifferentiated",0.005
13659,PHB20160615,""Superclass" Pisces - undifferentiated",0.01
13659,PHB20160615,"Etrumeus teres",0.003
13659,PHB20160615,"Macroramphosus spp.",0.003
13659,PHB20160615,"Triglidae & Peristediidae - undifferentiated",0.006
13659,PHB20160615,"Serranidae subfam. Anthiinae",0.003
13659,PHB20160615,"Priacanthidae - undifferentiated",0.003
13659,PHB20160615,"Cepola australis",0.013
13660,ROT20160722,"Sardinops sagax",(null)
13660,ROT20160722,"Myctophidae - undifferentiated",(null)
13660,ROT20160722,"Syngnathidae - undifferentiated",(null)
13660,ROT20160722,"Scorpaenidae - undifferentiated",(null)
13661,ROT20161004,""Superclass" Pisces - undifferentiated",(null)
13661,ROT20161004,"Sardinops sagax",(null)
13661,ROT20161004,"Gonostomatidae - undifferentiated",(null)
13661,ROT20161004,"Myctophidae - undifferentiated",(null)
13661,ROT20161004,"Platycephalidae - undifferentiated",(null)
13661,ROT20161004,"Pseudocaranx georgianus",(null)
13661,ROT20161004,"Labridae - undifferentiated",(null)
13661,ROT20161004,"Creedia spp.",(null)
13661,ROT20161004,"Tripterygiidae - undifferentiated",(null)
13661,ROT20161004,"Callionymidae - undifferentiated",(null)
13661,ROT20161004,"Pseudorhombus spp.",(null)
13661,ROT20161004,"Monacanthidae - undifferentiated",(null)
13661,ROT20161004,""Superclass" Pisces - undifferentiated",(null)
13661,ROT20161004,"Gobiesocidae - undifferentiated",(null)
13661,ROT20161004,"Scorpaenidae - undifferentiated",(null)
13661,ROT20161004,"Platycephalidae - undifferentiated",(null)
13661,ROT20161004,"Labridae - undifferentiated",(null)
13661,ROT20161004,"Tripterygiidae - undifferentiated",(null)
13661,ROT20161004,"Callionymidae - undifferentiated",(null)
13661,ROT20161004,"Monacanthidae - undifferentiated",(null)
13662,ROT20161024,"Zeidae - undifferentiated",0.003
13662,ROT20161024,"Mullidae - undifferentiated",0.003
13662,ROT20161024,"Labridae - undifferentiated",0.003
13662,ROT20161024,"Mullidae - undifferentiated",0.003
13662,ROT20161024,"Tripterygiidae - undifferentiated",0.003
13663,NSI20161019,""Superclass" Pisces - undifferentiated",0.003
13663,NSI20161019,"Gonostomatidae - undifferentiated",0.003
13663,NSI20161019,"Triglidae & Peristediidae - undifferentiated",0.003
13663,NSI20161019,"Platycephalidae - undifferentiated",0.008
13663,NSI20161019,"Serranidae subfam. Anthiinae",0.003
13663,NSI20161019,"Priacanthidae - undifferentiated",0.003
13663,NSI20161019,"Pomatomus saltatrix",0.003
13663,NSI20161019,"Trachurus novaezelandiae",0.016
13663,NSI20161019,"Pseudocaranx georgianus",0.003
13663,NSI20161019,"Decapterus spp.",0.003
13663,NSI20161019,"Lutjanidae - undifferentiated",0.003
13663,NSI20161019,"Nemipteridae - undifferentiated",0.003
13663,NSI20161019,"Haemulidae - undifferentiated",0.003
13663,NSI20161019,"Lethrinus spp.",0.037
13663,NSI20161019,"Mullidae - undifferentiated",0.005
13663,NSI20161019,"Chaetodontidae - undifferentiated",0.008
13663,NSI20161019,"Pomacentridae - undifferentiated",0.003
13663,NSI20161019,"Sphyraena spp.",0.008
13663,NSI20161019,"Labridae - undifferentiated",0.016
13663,NSI20161019,"Blenniidae - undifferentiated",0.003
13663,NSI20161019,"Callionymidae - undifferentiated",0.019
13663,NSI20161019,"Gobiidae - undifferentiated",0.008
13663,NSI20161019,"Scombridae - undifferentiated",0.217
13663,NSI20161019,"Scomber australasicus",0.008
13663,NSI20161019,"Cynoglossidae - undifferentiated",0.003
13663,NSI20161019,"Monacanthidae - undifferentiated",0.003
13663,NSI20161019,"Etrumeus teres",0.003
13663,NSI20161019,"Sardinops sagax",0.01
13663,NSI20161019,"Synodontidae - undifferentiated",0.003
13663,NSI20161019,"Myctophidae - undifferentiated",0.048
13663,NSI20161019,"Bregmaceros spp.",0.048
13663,NSI20161019,"Scorpaenidae - undifferentiated",0.003
13663,NSI20161019,"Triglidae & Peristediidae - undifferentiated",0.003
13663,NSI20161019,"Platycephalidae - undifferentiated",0.01
13663,NSI20161019,"Serranidae subfam. Anthiinae",0.024
13663,NSI20161019,"Serranidae subfam. Epinephelinae",0.003
13663,NSI20161019,"Priacanthidae - undifferentiated",0.007
13663,NSI20161019,"Apogonidae - undifferentiated",0.007
13663,NSI20161019,"Carangidae - undifferentiated",0.01
13663,NSI20161019,"Trachurus novaezelandiae",0.131
13663,NSI20161019,"Lutjanidae - undifferentiated",0.014
13663,NSI20161019,"Nemipteridae - undifferentiated",0.014
13663,NSI20161019,"Lethrinus spp.",0.01
13663,NSI20161019,"Schuettea spp.",0.003
13663,NSI20161019,"Chaetodontidae - undifferentiated",0.01
13663,NSI20161019,"Pomacentridae - undifferentiated",0.003
13663,NSI20161019,"Labridae - undifferentiated",0.028
13663,NSI20161019,"Creedia spp.",0.003
13663,NSI20161019,"Uranoscopidae - undifferentiated",0.003
13663,NSI20161019,"Callionymidae - undifferentiated",0.038
13663,NSI20161019,"Gobiidae - undifferentiated",0.007
13663,NSI20161019,"Scombridae - undifferentiated",0.183
13663,NSI20161019,"Scomber australasicus",0.007
13663,NSI20161019,"Crossorhombus spp.",0.003
13663,NSI20161019,"Engyprosopon spp.",0.014
13663,NSI20161019,"Monacanthidae - undifferentiated",0.007
14094,NSF20161019,"Sardinops sagax",0.006
14094,NSF20161019,"Spratelloides robustus",0.003
14094,NSF20161019,"Gonostomatidae - undifferentiated",0.003
14094,NSF20161019,"Myctophidae - undifferentiated",0.003
14094,NSF20161019,"Scorpaenidae - undifferentiated",0.003
14094,NSF20161019,"Triglidae & Peristediidae - undifferentiated",0.009
14094,NSF20161019,"Platycephalidae - undifferentiated",0.03
14094,NSF20161019,"Serranidae subfam. Epinephelinae",0.012
14094,NSF20161019,"Priacanthidae - undifferentiated",0.006
14094,NSF20161019,"Apogonidae - undifferentiated",0.006
14094,NSF20161019,"Trachurus novaezelandiae",0.009
14094,NSF20161019,"Decapterus spp.",0.021
14094,NSF20161019,"Lutjanidae - undifferentiated",0.035
14094,NSF20161019,"Nemipteridae - undifferentiated",0.041
14094,NSF20161019,"Lethrinus spp.",0.027
14094,NSF20161019,"Schuettea spp.",0.006
14094,NSF20161019,"Pomacentridae - undifferentiated",0.006
14094,NSF20161019,"Labridae - undifferentiated",0.012
14094,NSF20161019,"Pinguipedidae - undifferentiated",0.009
14094,NSF20161019,"Creedia spp.",0.006
14094,NSF20161019,"Callionymidae - undifferentiated",0.044
14094,NSF20161019,"Gobiidae - undifferentiated",0.018
14094,NSF20161019,"Scombridae - undifferentiated",0.077
14094,NSF20161019,"Scomber australasicus",0.009
14094,NSF20161019,"Engyprosopon spp.",0.021
14094,NSF20161019,"Grammatobothus spp.",0.006
14094,NSF20161019,"Pseudorhombus spp.",0.003
14094,NSF20161019,"Cynoglossidae - undifferentiated",0.003
14094,NSF20161019,"Monacanthidae - undifferentiated",0.027
13664,KAI20160915,""Superclass" Pisces - undifferentiated",0.006
13664,KAI20160915,"Serranidae subfam. Anthiinae",0.012
13664,KAI20160915,"Labridae - undifferentiated",0.006
13664,KAI20160915,"Thyrsites atun",0.006
13664,KAI20160915,"Sardinops sagax",0.006
13664,KAI20160915,"Emmelichthys nitidus",0.006
13664,KAI20160915,"Labridae - undifferentiated",0.013
13664,KAI20160915,"Tripterygiidae - undifferentiated",0.006
13665,PHB20160719,"Sardinops sagax",0.085
13665,PHB20160719,"Triglidae & Peristediidae - undifferentiated",0.007
13665,PHB20160719,"Matsubarichthys inusitatus",0.002
13665,PHB20160719,"Platycephalidae - undifferentiated",0.014
13665,PHB20160719,"Apogonidae - undifferentiated",0.002
13665,PHB20160719,"Sillago flindersi",0.018
13665,PHB20160719,"Trachurus novaezelandiae",0.023
13665,PHB20160719,"Chrysophrys auratus",0.007
13665,PHB20160719,"Mullidae - undifferentiated",0.002
13665,PHB20160719,"Cepola australis",0.002
13665,PHB20160719,"Lophonectes gallus",0.005
13665,PHB20160719,"Monacanthidae - undifferentiated",0.007
13665,PHB20160719,""Superclass" Pisces - undifferentiated",0.007
13665,PHB20160719,"Etrumeus teres",0.004
13665,PHB20160719,"Sardinops sagax",0.004
13665,PHB20160719,"Trachichthyidae - undifferentiated",0.002
13665,PHB20160719,"Platycephalus fuscus",0.004
13665,PHB20160719,"Platycephalidae - undifferentiated",0.072
13665,PHB20160719,"Sillago flindersi",0.046
13665,PHB20160719,"Trachurus novaezelandiae",0.031
13665,PHB20160719,"Scorpis spp.",0.007
13665,PHB20160719,"Cepola australis",0.028
13665,PHB20160719,"Liza argentea",0.007
13665,PHB20160719,"Callionymidae - undifferentiated",0.002
13665,PHB20160719,"Lophonectes gallus",0.002
13666,PHB20160829,"Etrumeus teres",0.004
13666,PHB20160829,"Sardinops sagax",0.574
13666,PHB20160829,"Engraulis australis",0.006
13666,PHB20160829,"Myctophidae - undifferentiated",0.002
13666,PHB20160829,"Moridae - undifferentiated",0.002
13666,PHB20160829,"Macroramphosus spp.",0.051
13666,PHB20160829,"Centropogon australis",0.004
13666,PHB20160829,"Helicolenus spp.",0.016
13666,PHB20160829,"Triglidae & Peristediidae - undifferentiated",0.006
13666,PHB20160829,"Platycephalidae - undifferentiated",0.018
13666,PHB20160829,"Callanthias australis",0.002
13666,PHB20160829,"Serranidae subfam. Anthiinae",0.023
13666,PHB20160829,"Pelates spp.",0.002
13666,PHB20160829,"Sillago flindersi",0.01
13666,PHB20160829,"Trachurus novaezelandiae",0.107
13666,PHB20160829,"Pseudocaranx georgianus",0.025
13666,PHB20160829,"Chrysophrys auratus",0.006
13666,PHB20160829,"Mullidae - undifferentiated",0.002
13666,PHB20160829,"Atypichthys strigatus",0.004
13666,PHB20160829,"Scorpis spp.",0.002
13666,PHB20160829,"Pomacentridae - undifferentiated",0.006
13666,PHB20160829,"Cepola australis",0.002
13666,PHB20160829,"Labridae - undifferentiated",0.002
13666,PHB20160829,"Scomber australasicus",0.08
13666,PHB20160829,"Lophonectes gallus",0.023
13666,PHB20160829,"Pseudorhombus spp.",0.002
13666,PHB20160829,"Monacanthidae - undifferentiated",0.004
13666,PHB20160829,"Sardinops sagax",0.002
13666,PHB20160829,"Centropogon australis",0.002
13666,PHB20160829,"Trachurus novaezelandiae",0.182
13666,PHB20160829,"Pseudocaranx georgianus",0.016
13666,PHB20160829,"Chrysophrys auratus",0.004
13666,PHB20160829,"Rhabdosargus sarba",0.002
13666,PHB20160829,"Scomber australasicus",0.013
13667,NSI20161116,"Etrumeus teres",0.028
13667,NSI20161116,"Sardinops sagax",0.003
13667,NSI20161116,"Triglidae & Peristediidae - undifferentiated",0.006
13667,NSI20161116,"Platycephalidae - undifferentiated",0.014
13667,NSI20161116,"Dactyloptena spp.",0.009
13667,NSI20161116,"Serranidae subfam. Anthiinae",0.003
13667,NSI20161116,"Priacanthidae - undifferentiated",0.003
13667,NSI20161116,"Pomatomus saltatrix",0.003
13667,NSI20161116,"Decapterus spp.",0.057
13667,NSI20161116,"Coryphaena spp.",0.003
13667,NSI20161116,"Lutjanidae - undifferentiated",0.009
13667,NSI20161116,"Nemipteridae - undifferentiated",0.028
13667,NSI20161116,"Lethrinus spp.",0.026
13667,NSI20161116,"Sciaenidae - undifferentiated",0.006
13667,NSI20161116,"Mullidae - undifferentiated",0.131
13667,NSI20161116,"Pomacentridae - undifferentiated",0.06
13667,NSI20161116,"Labridae - undifferentiated",0.011
13667,NSI20161116,"Callionymidae - undifferentiated",0.017
13667,NSI20161116,"Gobiidae - undifferentiated",0.014
13667,NSI20161116,"Scombridae - undifferentiated",0.159
13667,NSI20161116,"Scomber australasicus",0.011
13667,NSI20161116,"Engyprosopon spp.",0.02
13667,NSI20161116,"Grammatobothus spp.",0.003
13667,NSI20161116,"Cynoglossidae - undifferentiated",0.003
13667,NSI20161116,"Monacanthidae - undifferentiated",0.003
13667,NSI20161116,""Superclass" Pisces - undifferentiated",0.003
13667,NSI20161116,"Sardinops sagax",0.02
13667,NSI20161116,"Gonostomatidae - undifferentiated",0.003
13667,NSI20161116,"Myctophidae - undifferentiated",0.01
13667,NSI20161116,"Bregmaceros spp.",0.007
13667,NSI20161116,"Scorpaenidae - undifferentiated",0.003
13667,NSI20161116,"Platycephalidae - undifferentiated",0.017
13667,NSI20161116,"Dactyloptena spp.",0.003
13667,NSI20161116,"Serranidae subfam. Anthiinae",0.003
13667,NSI20161116,"Apogonidae - undifferentiated",0.007
13667,NSI20161116,"Trachurus novaezelandiae",0.07
13667,NSI20161116,"Lutjanidae - undifferentiated",0.03
13667,NSI20161116,"Nemipteridae - undifferentiated",0.05
13667,NSI20161116,"Lethrinus spp.",0.05
